"visited_space","nb_visites","nb_visiteurs_uniques","duree_moyenne","age_moyen","pct_femmes","pct_visites","taux_fidelite"
"Rooftop",3622,1424,245.322169941877,23.3050800662617,25.7868580894533,24.4580998041731,2.5435393258427
"Je n'ai pas encore dÃ©cidÃ©",2340,903,247.802828975568,22.3931623931624,28.2051282051282,15.8012019717739,2.59136212624585
"Partout",1708,525,302.079952968842,23.8056206088993,23.3606557377049,11.5335269093119,3.25333333333333
"TechIma-Coworking",1470,179,372.731923601637,24.4265306122449,12.0408163265306,9.92639611047336,8.2122905027933
"Prefab",1076,571,299.870697674419,25.5408921933086,24.6282527881041,7.26585184684989,1.88441330998249
"TechIma- Bois & MÃ©tal",593,126,339.098138747885,22.6273187183811,11.4671163575042,4.00432169626578,4.70634920634921
"TechIma-Atelier CAO",593,120,369.627749576988,23.0118043844857,37.2681281618887,4.00432169626578,4.94166666666667
"TechIma-Atelier Electronique",552,80,394.575591985428,21.1105072463768,7.60869565217391,3.72746302923898,6.9
"African Design School (ADS)",515,280,198.581213307241,28.1320388349515,31.8446601941748,3.47761496387332,1.83928571428571
"KfÃ¨tIma",440,82,89.8542141230068,20.7545454545455,62.2727272727273,2.97116618272672,5.36585365853659
"ImaStudio-Studio",435,251,286.764976958525,24.6,20.2298850574713,2.93740293065028,1.73306772908367
"Administration du SCOP (Renseignements, RÃ©servations, etc.)",419,290,209.504807692308,28.527446300716,26.0143198090692,2.82936052400567,1.4448275862069
"TechIma-Meeting Room",359,68,395.265363128492,25.4428969359331,12.5348189415042,2.42420149908839,5.27941176470588
"TechIma-Atelier FAO",172,45,317.994082840237,23.9244186046512,32.5581395348837,1.16145587142954,3.82222222222222
"TinIma",132,37,251.181818181818,28.1742424242424,58.3333333333333,0.891349854818016,3.56756756756757
"ImaStudio-Salle de Montage",121,74,238.008403361345,24.6363636363636,14.0495867768595,0.817070700249848,1.63513513513514
"ADS",92,60,184.336956521739,30.7934782608696,46.7391304347826,0.621243838206496,1.53333333333333
"Accueil SCOP",87,69,230.48275862069,27.0114942528736,14.9425287356322,0.587480586130056,1.26086956521739
"X-TechLab-Laboratoire",22,10,356.136363636364,30.0454545454545,72.7272727272727,0.148558309136336,2.2
"TechIma-Atelier Textile",15,12,332.266666666667,24.3333333333333,33.3333333333333,0.10128975622932,1.25
"XTechLab-Laboratoire",15,12,339.4,21,26.6666666666667,0.10128975622932,1.25
"Accueil SCOP (ðŸš« Uniquement pour motif ""Renseignements"")",10,10,327,25.2,50,0.06752650415288,1
"Je ne connait pas encore les espaces du SCOP",5,5,135.2,24.6,20,0.03376325207644,1
"ZZZ (Autre)",5,5,417.4,26.6,40,0.03376325207644,1
"Autre",4,4,328.75,22.75,25,0.027010601661152,1
"Partout (ðŸš«Uniquement pour motif ""Visite GuidÃ©e"")",3,3,34,21.3333333333333,33.3333333333333,0.020257951245864,1
"X-TechLab-Salle des chercheurs (En cours d'amÃ©nagement)",2,2,348.5,38,50,0.013505300830576,1
"Partout (ðŸš«Uniquement pour visite guidÃ©e)",1,1,414,23,0,0.006752650415288,1
"Prefab-Salle des chercheurs (En cours d'amÃ©nagement)",1,1,257,30,100,0.006752650415288,1
