"visit_reason","nb_visites","nb_visiteurs_uniques","duree_moyenne","pct_visites"
"Travail Personnel",5159,1031,321.149192764054,34.8369234924708
"Travail de groupe",1682,626,324.465476190476,11.3579579985144
"RDV",1427,715,191.144460028051,9.63603214261598
"Moment Libre (entre ami/repos/distraction, etc.)",762,379,189.244063324538,5.14551961644946
"Recherches Personnelles",582,228,328.274914089347,3.93004254169762
"Bénévolat",534,190,327.111954459203,3.60591532176379
"Restauration",527,110,87.7561904761905,3.55864676885678
"Programme digital artisan",502,35,368.736,3.38983050847458
"Coaching individuel",488,159,262.879098360656,3.29529340266054
"Atelier / Formation pour adultes",403,266,233.269326683292,2.72131811736106
"Coaching groupé",371,162,257.710027100271,2.50523330407185
"Hackathon",331,182,514.924471299094,2.23512728746033
"Réunion",303,192,241.178217821782,2.04605307583226
"Visite du SCOP",296,207,187.047297297297,1.99878452292525
"Demande de renseignements",288,235,142.034722222222,1.94476331960294
"Atelier / Formation pour enfants",221,82,285.108597285068,1.49233574177865
"Prototypage (accompagnement) de projet",186,52,404.174863387978,1.25599297724357
"Game Party",141,109,144.237037037037,0.952123708555608
"Seance d'information",116,113,168.758620689655,0.783307448173408
"Livraison",98,25,244.79381443299,0.661759740698224
"Stage",53,4,297.245283018868,0.357890472010264
"Climathon",46,44,352,0.310621919103248
"Visite guidée",31,23,161.645161290323,0.209332162873928
"Soirée cinéma",26,26,103.576923076923,0.175568910797488
"Dépôt de courrier",21,20,125.380952380952,0.141805658721048
"Restauration Climathon",17,11,69.9411764705882,0.114795057059896
"Recherches scientifiques (Uniquement pour Doctorants et Chercheurs)",13,7,350,0.087784455398744
"hackaton",11,11,203.454545454545,0.074279154568168
"Podcast",10,2,430,0.06752650415288
"Recherche",10,7,283,0.06752650415288
"Séance photo",10,10,178.1,0.06752650415288
"Pitch",9,5,155.666666666667,0.060773853737592
"Casting",7,7,119.857142857143,0.047268552907016
"Excursion",7,7,38.8571428571429,0.047268552907016
"Tekbot",7,6,134.571428571429,0.047268552907016
"Brainstorming",5,4,77.8,0.03376325207644
"Tournage",5,5,137,0.03376325207644
"Renseignements",4,4,204,0.027010601661152
"Challenge",3,3,879.333333333333,0.020257951245864
"Entretien",3,3,191.666666666667,0.020257951245864
"Hackaton",3,3,438,0.020257951245864
"Photo",3,2,266.666666666667,0.020257951245864
"Casting voix off",2,2,102.5,0.013505300830576
"Couverture",2,1,901,0.013505300830576
"Etudes",2,1,98,0.013505300830576
"Etudier",2,2,46.5,0.013505300830576
"Étudier",2,1,160.5,0.013505300830576
"Formation continue",2,2,189,0.013505300830576
"Programme digital artisant",2,2,322.5,0.013505300830576
"Projection",2,2,162,0.013505300830576
"Rencontre",2,1,59,0.013505300830576
"Reportage",2,2,316.5,0.013505300830576
"Sėance vidéo",2,2,372,0.013505300830576
"Shooting photo",2,2,765.5,0.013505300830576
"Videaste",2,2,12,0.013505300830576
"Watch party",2,2,204.5,0.013505300830576
"Accompagnement de formation des enfants LPMT",1,1,529,0.006752650415288
"Akaton",1,1,497,0.006752650415288
"aménagement pour climathon",1,1,445,0.006752650415288
"Aménagement pour climathon",1,1,172,0.006752650415288
"Assister mme Titilayo",1,1,171,0.006752650415288
"Atelie/pitch",1,1,308,0.006752650415288
"Atelier/rencontre de travail",1,1,263,0.006752650415288
"Au boulot",1,1,309,0.006752650415288
"Casting film",1,1,115,0.006752650415288
"Casting voix",1,1,517,0.006752650415288
"Champion’s pitch programm",1,1,-1,0.006752650415288
"Club d’écriture",1,1,142,0.006752650415288
"Conférence de presse programme Fly",1,1,26,0.006752650415288
"Coworking",1,1,515,0.006752650415288
"Dépôt de facture",1,1,16,0.006752650415288
"Enseignement",1,1,1,0.006752650415288
"Étude",1,1,675,0.006752650415288
"Expertise",1,1,52,0.006752650415288
"Expertise au Laboratoire",1,1,57,0.006752650415288
"Formation design",1,1,740,0.006752650415288
"Interview",1,1,202,0.006752650415288
"Masterclass JCI",1,1,0,0.006752650415288
"Meeting",1,1,198,0.006752650415288
"Office hours académie 5",1,1,377,0.006752650415288
"Personnel.",1,1,60,0.006752650415288
"photo",1,1,4,0.006752650415288
"pitch atelier",1,1,185,0.006752650415288
"Pitch Programme",1,1,253,0.006752650415288
"PODCAST",1,1,171,0.006752650415288
"Préparation du workshop de mai",1,1,813,0.006752650415288
"Rdv",1,1,95,0.006752650415288
"Récupérer un document",1,1,4,0.006752650415288
"Rendez vous",1,1,215,0.006752650415288
"Reservation",1,1,6,0.006752650415288
"Restauration (Achat repas/ Manger)",1,1,22,0.006752650415288
"Retrait d'attestation",1,1,7,0.006752650415288
"Retrait de bulletin ADS",1,1,33,0.006752650415288
"Rėunion",1,1,214,0.006752650415288
"Réunion d’association",1,1,260,0.006752650415288
"Roof top",1,1,93,0.006752650415288
"séance d'information",1,1,294,0.006752650415288
"Séance d’information",1,1,195,0.006752650415288
"Séance de travail",1,1,169,0.006752650415288
"seance shooting",1,1,291,0.006752650415288
"Sensibilisation",1,1,125,0.006752650415288
"Shooting photo",1,1,218,0.006752650415288
"soirée cinéma",1,1,166,0.006752650415288
"Soutenance",1,1,9,0.006752650415288
"Staage",1,1,140,0.006752650415288
"Stu",1,1,764,0.006752650415288
"Taff",1,1,135,0.006752650415288
"TEKBOT",1,1,797,0.006752650415288
"Test",1,1,847,0.006752650415288
"TEST",1,1,564,0.006752650415288
"Tournage vidéo",1,1,857,0.006752650415288
"Travail personnel",1,1,418,0.006752650415288
"Travaille",1,1,70,0.006752650415288
"Travaux dans le bâtiment limoza",1,1,26,0.006752650415288
"Tt",1,1,671,0.006752650415288
"Work",1,1,280,0.006752650415288
